"ger","Comment"
"Choco-Boy
“Dacht ich mir!
 Also viel Glück.”",""
"“Erst mal die Choco-Flöte einstellen.”
Choco-Flöte zum Suchen: 【Choco-Sonar】
Choco-Flöte zum Fangen: 【Choco-Zack】
Hilfe!
Flöten? Nie im Leben.",""
"Choco-Boy
“Ah! Du willst einen Chocobo fangen?”
Ja
Nein",""
"Choco-Boy
“Zum Fangen brauchst du Flöten.
Brauchst du eine {Yellow}【Choco-Flöte】{White}?”
Du verlangst doch Geld dafür?
Kein Bedarf.",""
"Choco-Boy
“Sowas werde ich doch nicht tun.
 Ich schenk dir die beiden hier.”",""
"“...nur, muß ich für die Nutzung der
 Gebrauchsanleitung {YellowBlink}Schulgeld{White}
 von 1000 Gil verlangen.”
...ich zahl ja schon.
Vergiß es...",""
"Choco-Boy
“Danke~.”",""
"Choco-Boy
“Ok, dann erkläre ich dir alles.
 Zuerst die beiden Flöten.
 Mit dem {Yellow}Choco-Sonar{White} erfährst
 du die {Yellow}Position{White}.
 Durch den {Yellow}Choco-Zack{White} wird
 der Chocobo {Yellow}aufgescheucht{White}.”",""
"Choco-Boy
“Wenn du in diesem Wald den
 {Yellow}Choco-Zack{White} spielst,
 werden die Chocobos angezogen
 und {WhiteBlink}fallen{White} von oben herunter.”
{NewPage}
“Die {WhiteBlink}Richtung{White} ermittelst du mit
 dem {Yellow}Choco-Sonar{White}
 (nachdem du mit {x0527} die Flöte
 ausgewählt hast). Halte einfach
 {x0524} gedrückt und lauf herum.”",""
"{Squall}
“Die kleinen interessieren mich nicht.
 Ich will schließlich darauf reiten.”",""
"Choco-Boy
“Laß mich doch zuende sprechen.
 Wenn ein 【Chocobo-Kid】 {YellowBlink}alleine{White}
 zurückgelassen wird, taucht die
 besorgte 【Chocobo-Mutter】 auf.”",""
"{Squall}
“Also genau der richtige
 Moment, sie zu fangen...”",""
"Choco-Boy
“Genau!”",""
"Choco-Boy
“Sie sind ziemlich friedlich.”",""
"Choco-Boy
“Ich fasse mal zusammen.
 Mit {x0527} den 【{Yellow}Choco-Sonar{White}】 wählen
 und mit  {x0524} darauf spielen.
 Wenn sich der Ton {WhiteBlink}ändert{White}, ist ein
 Chocobo in der Nähe.
 Mit {x0527} den 【{Yellow}Choco-Zack{White}】 wählen
 und mit {x0524} {WhiteBlink}fangen{White}.”",""
"Choco-Boy
“Sprich den 【Chocobo-Kid】 an, wenn er
 alleine ist. Das Muttertier kommt
 gleich angerannt.”",""
"Choco-Boy
“Wenn {Yellow}kein{White} Chocobo in der Nähe ist,
 klingt das so.”",""
"Choco-Boy
“Wenn ein Chocobo in der {Yellow}Nähe{White} ist, so.”",""
"Choco-Boy
“Behalte die Melodie im Kopf.”",""
"Choco-Boy
“Hm? Das alles scheint dich zu nerven.
 Wenn du mit {x0527} um {Yellow}Hilfe!{White} schreist,
 kann ich dir für einen extremen
 {YellowBlink}Billigtarif{White} einen fangen.”",""
"Choco-Boy
“Aber Vorsicht. Wenn {Yellow}kein{White} Chocobo
 in der Nähe ist, und du trotzdem den
 {Yellow}Choco-Zack{White} benutzt, wird er dir
 geklaut. Ab nächstes mal ist die
 Flöte {YellowBlink}nicht mehr kostenlos{White}.”",""
"Choco-Boy
“Viel Glück.”",""
"“Du willst was von mir? Gibst du auf?
 Ich gebe dir einen Rat. Gib auf und
 zahle die 1200 Gil.”
Ok, ich zahle.
Nein, ich zahle nicht.",""
"Choco-Boy
“Hallo! Ich zeig dir mal
 meine 【Super-Technik】.”",""
"Choco-Boy
“Komm, komm, lie~ber Choco~bo~.”",""
"Choco-Boy
“Bitte, bitte~.”",""
"Choco-Boy
“Hehehe{WhiteBlink}!{White} Was sagst du dazu?”",""
"Choco-Boy
“Nun denn..., klare Sache.
 Du darfst jederzeit zu mir kommen.”",""
"(Scheiße, meine Flöte...)",""
"(?... ich hab die Flöte wieder.)",""
"Choco-Boy
“Was? Die Flöte ist weg?
 Ich hatte dich ja gewarnt.”",""
"Choco-Boy
“Du brauchst wieder eine Flöte.
 Kauf sie für 700 Gil.”
Kaufen.
Nicht kaufen.",""
"Choco-Boy
“Hast du Fragen? Ist im Preis inbegriffen.”
Über den 【Choco-Sonar】
Über den 【Choco-Zack】
Über die 【Chocobo-Wälder】
Über 【dich】",""
"Choco-Boy
“Es funktioniert wie ein Sensor.
 Kann auch den Geruch eines
 Chocobos orten. Toll was?”",""
"Choco-Boy
“Man sagt, daß auf der ganzen Welt
 7 【Chocobo-Wälder】 existieren.
 Davon soll einer innerhalb
 eines Heiligtums liegen. In den
 restlichen 6 sind Brutstätten.”",""
"Choco-Boy
“Gibt Töne von sich, auf die Chocobos
 Reaktionen irgendeiner Art zeigen.”",""
"Choco-Boy
“Ich bin ein Experte in Chocobo-Fangen.
 Frag mich, wenn du Hilfe brauchst.”",""
"Choco-Boy
“So, nun das Geschäftliche.”
[Ein Tip]                   100 Gil
[5×Gizar-Kraut]            3000 Gil
[Einige Fragen]   Gratis, äh 10 Gil
Hab nichts Geschäftliches.        ",""
"Choco-Boy
“Der 【Wald der Trennung】:
 Paß auf die Töne des 【Sonars】 auf.”",""
"Choco-Boy
“Danke vielmals.”",""
"Choco-Boy
“Du hast nicht genug Geld.”",""
"Mit dem Chocobo aus dem Wald reiten...
Ich bleib noch eine Weile...",""
"“Du sitzt jetzt auf einem Chocobo.”",""
"“Er pickt etwas vom Boden auf.”",""
"【Shell-Stein】 erhalten!",""
"【Holy-Stein】 erhalten!",""
"Choco-Boy
“Ihr seid in einem
 {Blue}【Chocobo-Wald für {White}Fortgeschrittene{Blue}】{White}...
 Wenn ihr so einen Lärm macht,
 laufen die Chocobos weg.”",""
"Choco-Boy
“Ihr seid in einem
 {Blue}【Chocobo-Wald für {White}Fortgeschrittene{Blue}】{White}.”",""
"Choco-Boy
“Hm! Der Chocobo hat euch seinen
 Schatz geschenkt?
 Das ist ein 【Treuesiegel】.”",""
"Choco-Boy
“Die Chocobos in diesem Wald haben
 dich als Freund akzeptiert.
 Jetzt brauchst du nicht jedes mal
 nach ihnen zu suchen.”",""
"Choco-Boy
“Hm, meine Kundschaft ist weg.”",""
"Choco-Boy
“Gratuliere!”",""
"Choco-Boy
“Hm. Ob er das andere Ding schon...?
 Nein, nein. Es ist nichts!”",""
"#cwwood2","288"
"Choco-Boy
“Zwo, drei, vier.”",""
"Choco-Boy
“Gratuliere zu deinem ersten Chocobo.”",""
"Choco-Boy
“Als Dank für den regen Besuch
 gibt{xba}s heute ein Choco-Boys
 【Dynamic】-Sonderangebot.”",""
"{Squall}
“Verstehe... kann ich jetzt gehen?”",""
"Choco-Boy
“Halt, halt, halt! Moment!”",""
"Choco-Boy
“Zur Feier des Tages gibt{xba}s heute
 einen 【Chocobo-Kid】 umsonst.”",""
"{Squall}
“Den Kleinen...?”",""
"Choco-Boy
“Gib ihm einen Namen.”",""
"Choco-Boy
“Nun, da die passende Musik schon
 angelaufen ist, hier einige
 Erklärungen zu 【Chocobo World】.”",""
"Choco-Boy
“Es ist ganz einfach!!”",""
"Choco-Boy
“Im Menü 【Speichern】
 【Chocobo World】 wählen.”",""
"Choco-Boy
“Du kannst dann mit
 【Chocobo World】 kommunizieren.”",""
"Choco-Boy
“Dreh erst einmal eine Runde.
 Viel Glück.”",""
"Choco-Boy
“Hallo. Du brauchst wieder einen?
 Erst einmal willkommen.”",""
"Choco-Boy
“Einige Erklärungen...”
Brauch ich nicht.
Ok, erzähl mal.",""
"Choco-Boy
“Dacht ich mir!
 Also viel Glück.”",""
"“Erst mal die Choco-Flöte einstellen.”
Choco-Flöte zum Suchen: 【Choco-Sonar】
Choco-Flöte zum Fangen: 【Choco-Zack】
Hilfe!
Flöten? Nie im Leben.",""
"Choco-Boy
“Ah! Du willst einen Chocobo fangen?”
Ja
Nein",""
"Choco-Boy
“Zum Fangen brauchst du Flöten.
Brauchst du eine {Yellow}【Choco-Flöte】{White}?”
Du verlangst doch Geld dafür?
Kein Bedarf.",""
"Choco-Boy
“Sowas werde ich doch nicht tun.
 Ich schenk dir die beiden hier.”",""
"“...nur, muß ich für die Nutzung der
 Gebrauchsanleitung {YellowBlink}Schulgeld{White}
 von 1000 Gil verlangen.”
...ich zahl ja schon.
Vergiß es...",""
"Choco-Boy
“Danke~.”",""
"Choco-Boy
“Ok, dann erkläre ich dir alles.
 Zuerst die beiden Flöten.
 Mit dem {Yellow}Choco-Sonar{White} erfährst
 du die {Yellow}Position{White}.
 Durch den {Yellow}Choco-Zack{White} wird
 der Chocobo {Yellow}aufgescheucht{White}.”",""
"Choco-Boy
“Wenn du in diesem Wald den
 {Yellow}Choco-Zack{White} spielst,
 werden die Chocobos angezogen
 und {WhiteBlink}fallen{White} von oben herunter.”
{NewPage}
“Die {WhiteBlink}Richtung{White} ermittelst du mit
 dem {Yellow}Choco-Sonar{White}
 (nachdem du mit {x0527} die Flöte
 ausgewählt hast). Halte einfach
 {x0524} gedrückt und lauf herum.”",""
"{Squall}
“Die kleinen interessieren mich nicht.
 Ich will schließlich darauf reiten.”",""
"Choco-Boy
“Laß mich doch zuende sprechen.
 Wenn ein 【Chocobo-Kid】 {YellowBlink}alleine{White}
 zurückgelassen wird, taucht die
 besorgte 【Chocobo-Mutter】 auf.”",""
"{Squall}
“Also genau der richtige
 Moment, sie zu fangen...”",""
"Choco-Boy
“Genau!”",""
"Choco-Boy
“Sie sind ziemlich friedlich.”",""
"Choco-Boy
“Ich fasse mal zusammen.
 Mit {x0527} den 【{Yellow}Choco-Sonar{White}】 wählen
 und mit  {x0524} darauf spielen.
 Wenn sich der Ton {WhiteBlink}ändert{White}, ist ein
 Chocobo in der Nähe.
 Mit {x0527} den 【{Yellow}Choco-Zack{White}】 wählen
 und mit {x0524} {WhiteBlink}fangen{White}.”",""
"Choco-Boy
“Sprich den 【Chocobo-Kid】 an, wenn er
 alleine ist. Das Muttertier kommt
 gleich angerannt.”",""
"Choco-Boy
“Wenn {Yellow}kein{White} Chocobo in der Nähe ist,
 klingt das so.”",""
"Choco-Boy
“Wenn ein Chocobo in der {Yellow}Nähe{White} ist, so.”",""
"Choco-Boy
“Behalte die Melodie im Kopf.”",""
"Choco-Boy
“Hm? Das alles scheint dich zu nerven.
 Wenn du mit {x0527} um {Yellow}Hilfe!{White} schreist,
 kann ich dir für einen extremen
 {YellowBlink}Billigtarif{White} einen fangen.”",""
"Choco-Boy
“Aber Vorsicht. Wenn {Yellow}kein{White} Chocobo
 in der Nähe ist, und du trotzdem den
 {Yellow}Choco-Zack{White} benutzt, wird er dir
 geklaut. Ab nächstes mal ist die
 Flöte {YellowBlink}nicht mehr kostenlos{White}.”",""
"Choco-Boy
“Viel Glück.”",""
"“Du willst was von mir? Gibst du auf?
 Ich gebe dir einen Rat. Gib auf und
 zahle die 1200 Gil.”
Ok, ich zahle.
Nein, ich zahle nicht.",""
"Choco-Boy
“Hallo! Ich zeig dir mal
 meine 【Super-Technik】.”",""
"Choco-Boy
“Komm, komm, lie~ber Choco~bo~.”",""
"Choco-Boy
“Bitte, bitte~.”",""
"Choco-Boy
“Hehehe{WhiteBlink}!{White} Was sagst du dazu?”",""
"Choco-Boy
“Nun denn..., klare Sache.
 Du darfst jederzeit zu mir kommen.”",""
"(Scheiße, meine Flöte...)",""
"(?... ich hab die Flöte wieder.)",""
"Choco-Boy
“Was? Die Flöte ist weg?
 Ich hatte dich gewarnt.”",""
"Choco-Boy
“Du brauchst wieder eine Flöte.
 Kauf sie für 700 Gil.”
Kaufen.
Nicht kaufen.",""
"Choco-Boy
“Hast du Fragen? Ist im Preis inbegriffen.”
Über den 【Choco-Sonar】
Über den 【Choco-Zack】
Über die 【Chocobo-Wälder】
Über 【dich】",""
"Choco-Boy
“Es funktioniert wie ein Sensor.
 Kann auch den Geruch eines
 Chocobos orten. Toll was?”",""
"Choco-Boy
“Man sagt, daß auf der ganzen Welt
 7 【Chocobo-Wälder】 existieren.
 Davon soll einer innerhalb
 eines Heiligtums liegen. In den
 restlichen 6 sind Brutstätten.”",""
"Choco-Boy
“Gibt Töne von sich, auf die Chocobos
 Reaktionen irgendeiner Art zeigen.”",""
"Choco-Boy
“Ich bin ein Experte in Chocobo-Fangen.
 Frag mich, wenn du Hilfe brauchst.”",""
"Choco-Boy
“So, nun das Geschäftliche.”
[Ein Tip]                   100 Gil
[Gizar-Kraut]               600 Gil
[Einige Fragen]   Gratis, äh 10 Gil
Hab nichts Geschäftliches.        ",""
"Choco-Boy
“Der sogenannte 【Wald der Grundlagen】:
 Spiel einfach 2 Mal die Flöte.”",""
"Choco-Boy
“Danke vielmals.”",""
"Choco-Boy
“Du hast nicht genug Geld.”",""
"Mit dem Chocobo aus dem Wald reiten...
Ich bleib noch eine Weile...",""
"“Du sitzt jetzt auf einem Chocobo.”",""
"“Er pickt etwas vom Boden auf.”",""
"【Flare-Stein】 erhalten!",""
"Choco-Boy
“Ihr seid in einem
 {Blue}【Chocobo-Wald für {White}Anfänger{Blue}】{White}...
 Wenn ihr so einen Lärm macht,
 laufen die Chocobos alle weg.”",""
"Choco-Boy
“Ihr seid in einem
 {Blue}【Chocobo-Wald für {White}Anfänger{Blue}】{White}.”",""
"Choco-Boy
“Hm! Der Chocobo hat euch seinen
 Schatz geschenkt?
 Das ist ein 【Treuesiegel】.”",""
"Choco-Boy
“Die Chocobos in diesem Wald haben
 dich als Freund akzeptiert.
 Jetzt brauchst du nicht jedes mal
 nach ihnen zu suchen.”",""
"Choco-Boy
“Hm, meine Kundschaft ist weg.”",""
"Choco-Boy
“Gratuliere!”",""
"Choco-Boy
“Hm. Ob er das andere Ding schon...?
 Nein, nein. Es ist nichts!”",""
"#cwwood1","287"
"Choco-Boy
“Zwo, drei, vier.”",""
"Choco-Boy
“Gratuliere zu deinem ersten Chocobo.”",""
"Choco-Boy
“Als Dank für den regen Besuch
 gibt{xba}s heute ein Choco-Boys
 【Dynamic】-Sonderangebot.”",""
"{Squall}
“Verstehe... kann ich jetzt gehen?”",""
"Choco-Boy
“Halt, halt, halt! Moment!”",""
"Choco-Boy
“Zur Feier des Tages gibt{xba}s heute
 einen 【Chocobo-Kid】 umsonst.”",""
"{Squall}
“Den Kleinen...?”",""
"Choco-Boy
“Gib ihm einen Namen.”",""
"Choco-Boy
“Da die passende Musik schon
 angelaufen ist, hier einige
 Erklärungen zu 【Chocobo World】.”",""
"Choco-Boy
“Es ist ganz einfach!!”",""
"Choco-Boy
“Im Menü 【Speichern】
 【Chocobo World】 wählen.”",""
"Choco-Boy
“Du kannst dann mit
 【Chocobo World】 kommunizieren.”",""
"Choco-Boy
“Dreh erst einmal eine Runde.
 Viel Glück.”",""
"Choco-Boy
“Hallo. Du brauchst wieder einen?
 Erst einmal willkommen.”",""
"Choco-Boy
“Einige Erklärungen...”
Brauch ich nicht.
Ok, erzähl mal.",""
"Choco-Boy
“Dacht ich mir!
 Also viel Glück.”",""
"“Erst mal die Choco-Flöte einstellen.”
Choco-Flöte zum Suchen: 【Choco-Sonar】
Choco-Flöte zum Fangen: 【Choco-Zack】
Hilfe!
Flöten? Nie im Leben.",""
"Choco-Boy
“Ah! Du willst einen Chocobo fangen?”
Ja
Nein",""
"Choco-Boy
“Zum Fangen brauchst du Flöten.
Brauchst du eine {Yellow}【Choco-Flöte】{White}?”
Du verlangst doch Geld dafür?
Kein Bedarf.",""
"Choco-Boy
“Sowas werde ich doch nicht tun.
 Ich schenk dir die beiden hier.”",""
"“...nur, muß ich für die Nutzung der
 Gebrauchsanleitung {YellowBlink}Schulgeld{White}
 von 1000 Gil verlangen.”
...ich zahl ja schon.
Vergiß es...",""
"Choco-Boy
“Danke~.”",""
"Choco-Boy
“Ok, dann erkläre ich dir alles.
 Zuerst die beiden Flöten.
 Mit dem {Yellow}Choco-Sonar{White} erfährst
 du die {Yellow}Position{White}.
 Durch den {Yellow}Choco-Zack{White} wird
 der Chocobo {Yellow}aufgescheucht{White}.”",""
"Choco-Boy
“Wenn du in diesem Wald den
 {Yellow}Choco-Zack{White} spielst,
 werden die Chocobos angezogen
 und {WhiteBlink}fallen{White} von oben herunter.”
{NewPage}
“Die {WhiteBlink}Richtung{White} ermittelst du mit
 dem {Yellow}Choco-Sonar{White}
 (nachdem du mit {x0527} die Flöte
 ausgewählt hast). Halte einfach
 {x0524} gedrückt und lauf herum.”",""
"{Squall}
“Die kleinen interessieren mich nicht.
 Ich will schließlich darauf reiten.”",""
"Choco-Boy
“Laß mich doch zuende sprechen.
 Wenn ein 【Chocobo-Kid】 {YellowBlink}alleine{White}
 zurückgelassen wird, taucht die
 besorgte 【Chocobo-Mutter】 auf.”",""
"{Squall}
“Also genau der richtige
 Moment, sie zu fangen...”",""
"Choco-Boy
“Genau!”",""
"Choco-Boy
“Sie sind ziemlich friedlich.”",""
"Choco-Boy
“Ich fasse mal zusammen.
 Mit {x0527} den 【{Yellow}Choco-Sonar{White}】 wählen
 und mit  {x0524} darauf spielen.
 Wenn sich der Ton {WhiteBlink}ändert{White}, ist ein
 Chocobo in der Nähe.
 Mit {x0527} den 【{Yellow}Choco-Zack{White}】 wählen
 und mit {x0524} {WhiteBlink}fangen{White}.”",""
"Choco-Boy
“Sprich den 【Chocobo-Kid】 an, wenn er
 alleine ist. Das Muttertier kommt
 gleich angerannt.”",""
"Choco-Boy
“Wenn {Yellow}kein{White} Chocobo in der Nähe ist,
 klingt das so.”",""
"Choco-Boy
“Wenn ein Chocobo in der {Yellow}Nähe{White} ist, so.”",""
"Choco-Boy
“Behalte die Melodie im Kopf.”",""
"Choco-Boy
“Hm? Das alles scheint dich zu nerven.
 Wenn du mit {x0527} um {Yellow}Hilfe!{White} schreist,
 kann ich dir für einen extremen
 {YellowBlink}Billigtarif{White} einen fangen.”",""
"Choco-Boy
“Aber Vorsicht. Wenn {Yellow}kein{White} Chocobo
 in der Nähe ist, und du trotzdem den
 {Yellow}Choco-Zack{White} benutzt, wird er dir
 geklaut. Ab nächstes mal ist die
 Flöte {YellowBlink}nicht mehr kostenlos{White}.”",""
"Choco-Boy
“Viel Glück.”",""
"“Du willst was von mir? Gibst du auf?
 Ich gebe dir einen Rat. Gib auf und
 zahle die 1200 Gil.”
Ok, ich zahle.
Nein, ich zahle nicht.",""
"Choco-Boy
“Hallo! Ich zeig dir mal
 meine 【Super-Technik】.”",""
"Choco-Boy
“Komm, komm, lie~ber Choco~bo~.”",""
"Choco-Boy
“Bitte, bitte~.”",""
"Choco-Boy
“Hehehe{WhiteBlink}!{White} Was sagst du dazu?”",""
"Choco-Boy
“Nun denn..., klare Sache.
 Du darfst jederzeit zu mir kommen.”",""
"(Scheiße, meine Flöte...)",""
"(?... ich hab die Flöte wieder.)",""
"Choco-Boy
“Was? Die Flöte ist weg?
 Ich hatte dich ja gewarnt.”",""
"Choco-Boy
“Du brauchst wieder eine Flöte.
 Kauf sie für 700 Gil.”
Kaufen.
Nicht kaufen.",""
"Choco-Boy
“Hast du Fragen? Ist im Preis inbegriffen.”
Über den 【Choco-Sonar】
Über den 【Choco-Zack】
Über die 【Chocobo-Wälder】
Über 【dich】",""
"Choco-Boy
“Es funktioniert wie ein Sensor.
 Kann auch den Geruch eines
 Chocobos orten. Toll was?”",""
"Choco-Boy
“Man sagt, daß auf der ganzen Welt
 7 【Chocobo-Wälder】 existieren.
 Davon soll einer innerhalb
 eines Heiligtums liegen. In den
 restlichen 6 sind Brutstätten.”",""
"Choco-Boy
“Gibt Töne von sich, auf die Chocobos
 Reaktionen irgendeiner Art zeigen.”",""
"Choco-Boy
“Ich bin ein Experte in Chocobo-Fangen.
 Frag mich, wenn du Hilfe brauchst.”",""
"Choco-Boy
“So, nun das Geschäftliche.”
[Ein Tip]                   100 Gil
[Gizar-Kraut]               600 Gil
[Einige Fragen]   Gratis, äh 10 Gil
Hab nichts Geschäftliches.        ",""
"Choco-Boy
“Der sogenannte 【Wald für Anfänger】:
 Such nach einem Ort, wo ein Chocobo
 heruterfallen könnte.”",""
"Choco-Boy
“Danke vielmals.”",""
"Choco-Boy
“Du hast nicht genug Geld.”",""
"Mit dem Chocobo aus dem Wald reiten...
Ich bleib noch eine Weile...",""
"“Du sitzt jetzt auf einem Chocobo.”",""
"“Er pickt etwas vom Boden auf.”",""
"【Aura-Stein】 erhalten!",""
"Choco-Boy
“Ihr seid in einem
 {Blue}【Chocobo-Wald für {White}Anfänger{Blue}】{White}...
 Wenn ihr so einen Lärm macht,
 laufen die Chocobos alle weg.”",""
"Choco-Boy
“Ihr seid in einem
 {Blue}【Chocobo-Wald für {White}Anfänger{Blue}】{White}.”",""
"Choco-Boy
“Hm! Der Chocobo hat euch seinen
 Schatz geschenkt?
 Das ist ein 【Treuesiegel】!”",""
"Choco-Boy
“Die Chocobos in diesem Wald haben
 dich als Freund akzeptiert.
 Jetzt brauchst du nicht jedes mal
 nach ihnen zu suchen.”",""
"Choco-Boy
“Hm, meine Kundschaft ist weg.”",""
"Choco-Boy
“Gratuliere!”",""
"Choco-Boy
“Hm. Ob er das andere Ding schon...?
 Nein, nein. Es ist nichts!”",""
"#bcmin22a","117"
"Xell
“Hey! Benehmt euch gefälligst!
 Ich hasse Unordnung...”",""
"Selphie
“Wooow!”",""
"Xell
“Runter von meinem
 Bett, verdammt!!”",""
"Selphie
“Was denn?
 Du bist ja {Wait032}RICH{Wait016}TIG {Wait048}kleinlich.”",""
"“Du solltest dankbar sein, daß ein so
 hübsches Mädchen auf deinem Bett sitzt.”",""
"“Nicht wahr, {Squall}?”",""
"{Squall}
Da hast du Recht.
Mich würde das stören.",""
"Xell
“{Squall}, was zum...!?”",""
"Selphie
“{Squall} versteht mich besser
 als ich{xba}s mir vorgestellt habe!”",""
"“Xell hingegen...
 Tja jaaa...”",""
"Xell
“Heeey!!”",""
"Xell
“Mich würde das auch stören.”",""
"Selphie
“Meinst du etwa,
 weil ich es bin!?”",""
"“Xell und {Squall}...
 Euer SEED-Level fällt!!”",""
"Xell
“Was!? Meinst
 du das im Ernst!?”",""
"{Rinoa}
“Das Zimmer eines Jungen...
 Irgendwie interessant.”",""
"{Rinoa}
“Ist das dein Großvater?”",""
"Xell
“Genau! Er ist mein Vorbild!
 Er war ein Kriegsheld!”",""
"“Er war nicht nur stark.
 Er konnte die Lage immer
 perfekt einschätzen.”",""
"{Squall}
“Also das Gegenteil von dir?”",""
"Xell
“Wie war das
 eben, {Squall}?”",""
"{Rinoa}
“Ähm... meiner
 Meinung nach...”",""
"“...ist {Squall}
 zu vorsichtig.”",""
"{Squall}
“......”",""
"Xell
“He, he. Was sagst
 du dazu, {Squall}?”",""
"“Weißt du? Du mußt immer
 mit Leidenschaft bei der
 Sache sein. So wie ich!”",""
"{Rinoa}
“Bist du jetzt sauer?”",""
"{Squall}
“Das ist das Zimmer von Xell...”",""
"Quistis
“Das sieht nicht aus wie ein Zimmer
 eines Jungen. Es sieht aufgeräumt aus.”",""
"Quistis
“Hm?”",""
"“Wurde dein T-Board
 nicht beschlagnahmt?”",""
"Xell
“Ein Profi wie ich
 braucht mehrere Boards.”",""
"“Was ist?
 Was lachst du da?”",""
"Quistis
“Wenn ich T-Board höre,
 muß ich immer daran denken.”",""
"Quistis
“{Squall}, hast du schon mal
 von dem Unfall gehört?”",""
"{Squall}
“?
 Was für ein Unfall?”",""
"Quistis
“Er ist mit dem T-Board in der
 Schule herumgefahren, und zack,
 landete er in der Damentoilette.”",""
